辞典,じてん
新聞紙,しんぶんし
雑誌,ざっし
読書,どくしょ
文章,ぶんしょう
言語,げんご
会話,かいわ
発音,はつおん
翻訳,ほんやく
通訳,つうやく
文法,ぶんぽう
文学,ぶんがく
詩人,しじん
作家,さっか
書店,しょてん
図書館員,としょかんいん
古書,こしょ
新刊,しんかん
刊行物,かんこうぶつ
名作,めいさく
小説家,しょうせつか
文芸,ぶんげい
自伝,じでん
伝記,でんき
評論,ひょうろん
批評,ひひょう
感想,かんそう
印象,いんしょう
説明,せつめい
物語,ものがたり
冒険,ぼうけん
登場人物,とうじょうじんぶつ
劇,げき
舞台,ぶたい
演劇,えんげき
脚本,きゃくほん
監督,かんとく
俳優,はいゆう
女優,じょゆう
演技,えんぎ
舞台装置,ぶたいそうち
照明,しょうめい
音響,おんきょう
衣装,いしょう
台本,だいほん
作曲家,さっきょくか
作詞家,さくしか
歌手,かしゅ
音楽会,おんがくかい
演奏,えんそう
演奏者,えんそうしゃ
指揮者,しきしゃ
楽団,がくだん
弦楽器,げんがっき
管楽器,かんがっき
打楽器,だがっき
楽譜,がくふ
旋律,せんりつ
和音,わおん
歌詞,かし
歌唱,かしょう
独唱,どくしょう
合唱,がっしょう
独奏,どくそう
協奏曲,きょうそうきょく
交響曲,こうきょうきょく
声楽,せいがく
舞踊,ぶよう
踊り,おどり
伝統芸能,でんとうげいのう
茶道,さどう
書道,しょどう
生け花,いけばな
陶芸,とうげい
工芸,こうげい
染色,せんしょく
彫刻,ちょうこく
絵画,かいが
水彩画,すいさいが
油絵,あぶらえ
素描,そびょう
版画,はんが
彫版,ちょうはん
工芸品,こうげいひん
美術館,びじゅつかん
展示会,てんじかい
展覧会,てんらんかい
博物館,はくぶつかん
文化財,ぶんかざい
歴史,れきし
考古学,こうこがく
民族学,みんぞくがく
地理学,ちりがく
人類学,じんるいがく
社会学,しゃかいがく
心理学,しんりがく
哲学,てつがく
倫理学,りんりがく
宗教学,しゅうきょうがく
美学,びがく
芸術,げいじゅつ
科学,かがく
自然,しぜん
宇宙,うちゅう
惑星,わくせい
銀河,ぎんが
天文学,てんもんがく
物理学,ぶつりがく
化学,かがく
生物学,せいぶつがく
地学,ちがく
数学,すうがく
情報学,じょうほうがく
工学,こうがく
電子工学,でんしこうがく
機械工学,きかいこうがく
建築学,けんちくがく
材料工学,ざいりょうこうがく
経済学,けいざいがく
経営学,けいえいがく
法律学,ほうりつがく
政治学,せいじがく
教育学,きょういくがく
体育学,たいいくがく
医療,いりょう
医学,いがく
薬学,やくがく
看護学,かんごがく
心理療法,しんりりょうほう
生理学,せいりがく
病理学,びょうりがく
免疫学,めんえきがく
環境学,かんきょうがく
農学,のうがく
林学,りんがく
水産学,すいさんがく
食品学,しょくひんがく
栄養学,えいようがく
生活,せいかつ
環境,かんきょう
家庭,かてい
教育,きょういく
学問,がくもん
