稀,まれ
珍しい,めずらしい
折角,せっかく
滅多に無い,めったにない
希少,きしょう
珍,ちん
稀に見る,まれにみる
少ない,すくない
不世出,ふせいしゅつ
生煮え,なまにえ
類まれ,たぐいまれ
希有,けう
そうそうない,そうそうない
希世,きせい
非凡,ひぼん
生焼け,なまやけ
珍稀,ちんき
事珍し,ことめずらし
稀覯,きこう
珍稀,ちんき
偶,たま
古書,こしょ
希代,きたい
滅多,めった
逸品,いっぴん
凡ならざる,ぼんならざる
すこぶる付き,すこぶるつき
半焼け,はんやけ
珍客,ちんきゃく
珍味佳肴,ちんみかこう
希少品,きしょうひん
珍什,ちんじゅう
僻字,へきじ
珍品,ちんぴん
もしもの事,もしものこと
寥々,りょうりょう
希土類元素,きどるいげんそ
奇病,きびょう
偶に,たまに
希,き
邂逅,わくらば
珍事,ちんじ
日本希土類学会,にっぽんきどるいがっかい
古書店,こしょてん
稀覯本,きこうぼん
珍種,ちんしゅ
奇才,きさい
稀崩壊,きほうかい
希書,きしょ
希元素,きげんそ
名器,めいき
希少糖,きしょうとう
珍しもの,めずらしもの
奇石,きせき
珍事件,ちんじけん
珍本,ちんぽん
珍貴,ちんき
珍宝,ちんぽう
珍事件,ちんじけん
珍本,ちんぽん
珍籍,ちんせき
稀覯本,きこうぼん
名器,めいき
珍宝,ちんぽう
珍鳥,ちんちょう
佳肴,かこう
希元素,きげんそ
珍書,ちんしょ
珍魚,ちんぎょ
雨夜の星,あまよのほし
奇貨,きか
珍獣,ちんじゅう
希少種,きしょうしゅ
奇才,きさい
珍車,ちんしゃ
希土類,きどるい
極たまに,ごくたまに
ごく稀,ごくまれ
奇絶,きぜつ
まず無い,まずない
珍果,ちんか
珍菓,ちんか
古書展,こしょてん
珍貨,ちんか
珍木,ちんぼく
珍花,ちんか
希少部位,きしょうぶい
幻,まぼろし
書換字,かきかえじ
滅多に,めったに
希薄,きはく
神引き,かみびき
盲亀浮木,もうきふぼく
盲亀の浮木,もうきのふぼく
異本,いほん
優曇華,うどんげ
水母の骨,くらげのほね
好事多魔,こうじたま
奇貨可居,きかおくべし
百年目,ひゃくねんめ
偶さか,たまさか
低浮上,ていふじょう
滅多に見られない,めったにみられない
珍芸,ちんげい
疎密波,そみつは
名物にうまいものなし,めいぶつにうまいものなし
もやもや病,もやもやびょう
国鱒,くにます
不明,ふめい
曖昧模糊,あいまいもこ
漠然,ばくぜん
無名,むめい
不分明,ふぶんめい
不透明,ふとうめい
不明瞭,ふめいりょう
暈す,ぼかす
見にくい,みにくい
名もない,なもない
ほの暗い,ほのぐらい
不文明,ふぶんめい
晦渋,かいじゅう
朦朧,もうろう
見えづらい,みえづらい
見づらい,みづらい
漠,ばく
曇らす,くもらす
茫漠,ぼうばく
漠々,ばくばく
模糊,もこ
朽ち木,くちき
日陰者,ひかげもの
鶯谷,おうこく
難読,なんどく
吉日,きちじつ
吉,きち
暗に,あんに
顕在,けんざい
陰る,かげる
見えにくい,みえにくい
先進,せんしん
高尚,こうしょう
高度,こうど
先端,せんたん
先進国,せんしんこく
上級,じょうきゅう
高齢,こうれい
老齢,ろうれい
進化,しんか
上級者,じょうきゅうしゃ
新素材,しんそざい
早まる,はやまる
奥の深い,おくのふかい
高度情報通信社会推進本部,こうどじょうほうつうしんしゃかいすいしんほんぶ
高等科,こうとうか
段位,だんい
総合研究大学院大学,そうごうけんきゅうだいがくいんだいがく
産業技術総合研究所,さんぎょうぎじゅつそうごうけんきゅうしょ
海洋理工学会,かいようりこうがっかい
北陸先端技術大学院大学,ほくりくせんたんぎじゅつだいがくいんだいがく
特少,とくしょう
詳細設定,しょうさいせってい
特論,とくろん
先進兵器,せんしんへいき
進行がん,しんこうがん
新型転換炉,しんがたてんかんろ
先進工業国,せんしんこうぎょうこく
先行制御,せんこうせいぎょ
既得単位,きとくたんい
特別少年院,とくべつしょうねんいん
専修学校,せんしゅうがっこう
超級,ちょうきゅう
最高齢,さいこうれい
総合歯科医療研究所,そうごうしかいりょうけんきゅうじょ
いい年,いいとし
中高齢,ちゅうこうれい
国連大学高等研究所,こくれんだいがくこうとうけんきゅうじょ
産総研,さんそうけん
高度成長,こうどせいちょう
多元物質科学研究所,たげんぶっしつかがくけんきゅうじょ
竹槍戦術,たけやりせんじゅつ
新知識,しんちしき
老身,ろうしん
高学歴,こうがくれき
北陸先端科学技術大学院大学,ほくりくせんたんかがくぎじゅつだいがくいんだいがく
情報科学芸術大学院大学,じょうほうかがくげいじゅつだいがくいんだいがく
大学院大学,だいがくいんだいがく
繰り上がる,くりあがる
高等看護学院,こうとうかんごがくいん
東京都立産業技術大学院大学,とうきょうとりつさんぎょうぎじゅつだいがくいんだいがく
老境に入る,ろうきょうにいる
京都先端科学大学,きょうとせんたんかがくだいがく
新知,しんち
編入学,へんにゅうがく
だいち,だいち
御年,おんとし
獣弓目,じゅうきゅうもく
段,だん
天寿を全うする,てんじゅをまっとうする
年を食う,としをくう
