眼鏡,めがね
塩,しお
黄色,きいろ
灰皿,はいざら
可愛い,かわいい
音,おと
赤ちゃん,あかちゃん
玩具,おもちゃ
商人,しょうにん
国境,こっきょう
少女,しょうじょ
釣り,つり
銃,じゅう
保証,ほしょう
年寄り,としより
平均,へいきん
雷,かみなり
位置,いち
日付,ひづけ
天皇,てんのう
屡々,しばしば
鼠,ねずみ
良い,よい
此の,この
誰,だれ
作る,つくる
貴方,あなた
行く,いく
終わる,おわる
何の,どの
余り,あまり
面白い,おもしろい
体,からだ
弟,おとうと
切り,きり
暇,ひま
明るい,あかるい
始め,はじめ
三,さん
六,ろく
其れ,それ
迚も,とても
此れ,これ
何時も,いつも
沢山,たくさん
何処,どこ
何方,どなた
一寸,ちょっと
何故,なぜ
一日,いちにち
如何して,どうして
丁度,ちょうど
綺麗,きれい
然し,しかし
色々,いろいろ
美味しい,おいしい
曲がる,まがる
段々,だんだん
彼処,あそこ
煩い,うるさい
詰らない,つまらない
お祖母さん,おばあさん
其方,そちら
不味い,まずい
お手洗い,おてあらい
お巡りさん,おまわりさん
其処,そこ
農場,のうじょう
惑星,わくせい
矢,や
尾,お
百科事典,ひゃっかじてん
地獄,じごく
乗り換え,のりかえ
津波,つなみ
銅,どう
引き分け,ひきわけ
皇居,こうきょ
歯磨き,はみがき
仏像,ぶつぞう
流通,りゅうつう
冠,かんむり
転々,てんてん
見合い,みあい
水源,すいげん
海運,かいうん
曖昧,あいまい
梯子,はしご
絨毯,じゅうたん
茹でる,ゆでる
錆,さび
中指,なかゆび
と,と
螺子,ねじ
黄金,おうごん
子,こ
怒る,おこる
嬢,じょう
振り,ふり
落ちる,おちる
楽しむ,たのしむ
途中,とちゅう
起こす,おこす
死,し
上がる,あがる
説得,せっとく
助言,じょげん
理論,りろん
怒り,いかり
集まる,あつまる
落とす,おとす
秘書,ひしょ
紳士,しんし
証拠,しょうこ
大事,だいじ
下がる,さがる
決まる,きまる
選挙,せんきょ
運命,うんめい
運命,うんめい
世,よ
天才,てんさい
富,とみ
取引,とりひき
階,かい
危機,きき
勝利,しょうり
交渉,こうしょう
予想,よそう
距離,きょり
政策,せいさく
幽霊,ゆうれい
洪水,こうずい
同情,どうじょう
航海,こうかい
破壊,はかい
自信,じしん
世代,せだい
投資,とうし
殺人,さつじん
資格,しかく
投資,とうし
小切手,こぎって
反応,はんのう
報道,ほうどう
企画,きかく
制服,せいふく
賃金,ちんぎん
暴力,ぼうりょく
名誉,めいよ
権力,けんりょく
貧困,ひんこん
保険,ほけん
美,び
妥協,だきょう
孤独,こどく
聖書,せいしょ
昆虫,こんちゅう
判決,はんけつ
判決,はんけつ
牧師,ぼくし
向き,むき
保護,ほご
規制,きせい
真ん中,まんなか
着陸,ちゃくりく
倒産,とうさん
偏見,へんけん
入浴,にゅうよく
財政,ざいせい
証言,しょうげん
報酬,ほうしゅう
予言,よげん
動機,どうき
革命,かくめい
決断,けつだん
人民,じんみん
祈り,いのり
自己,じこ
暴動,ぼうどう
昼間,ひるま
改革,かいかく
移民,いみん
真珠,しんじゅ
久しぶり,ひさしぶり
妊娠,にんしん
死刑,しけい
災害,さいがい
爆弾,ばくだん
実業家,じつぎょうか
民族,みんぞく
燃料,ねんりょう
人格,じんかく
承諾,しょうだく
権威,けんい
伝説,でんせつ
網,あみ
悪,あく
定義,ていぎ
脳,のう
認識,にんしき
孤児,こじ
圧力,あつりょく
物体,ぶったい
反乱,はんらん
品質,ひんしつ
体力,たいりょく
植民地,しょくみんち
福祉,ふくし
芝,しば
海峡,かいきょう
宮殿,きゅうでん
文書,ぶんしょ
火星,かせい
探検,たんけん
戦闘,せんとう
正義,せいぎ
柱,はしら
真理,しんり
柱,はしら
理性,りせい
出血,しゅっけつ
日焼け,ひやけ
声明,せいめい
条約,じょうやく
闇,やみ
関税,かんぜい
職員,しょくいん
固定,こてい
憎しみ,にくしみ
内閣,ないかく
尿,にょう
形態,けいたい
本能,ほんのう
思考,しこう
概念,がいねん
見積もり,みつもり
視野,しや
進化,しんか
進化,しんか
比例,ひれい
根源,こんげん
負債,ふさい
転勤,てんきん
独占,どくせん
面会,めんかい
看護,かんご
資産,しさん
恋愛,れんあい
権限,けんげん
電線,でんせん
乱用,らんよう
疲労,ひろう
貴族,きぞく
家出,いえで
在庫,ざいこ
運賃,うんちん
定年,ていねん
奉仕,ほうし
腐敗,ふはい
定年,ていねん
救済,きゅうさい
天国,てんごく
扉,とびら
退学,たいがく
肺,はい
遺跡,いせき
潮,しお
与党,よとう
奉仕,ほうし
固体,こたい
統制,とうせい
原子,げんし
主食,しゅしょく
喜劇,きげき
人質,ひとじち
人体,じんたい
気質,きしつ
得点,とくてん
戦術,せんじゅつ
実践,じっせん
原子,げんし
人質,ひとじち
人体,じんたい
介護,かいご
設定,せってい
得点,とくてん
感染,かんせん
証人,しょうにん
家畜,かちく
主人公,しゅじんこう
斜面,しゃめん
神秘,しんぴ
堤防,ていぼう
暗殺,あんさつ
占領,せんりょう
細胞,さいぼう
脅迫,きょうはく
模型,もけい
神秘,しんぴ
政権,せいけん
脂肪,しぼう
基金,ききん
織物,おりもの
清算,せいさん
回路,かいろ
君主,くんしゅ
貨幣,かへい
本質,ほんしつ
抑圧,よくあつ
天体,てんたい
詐欺,さぎ
中立,ちゅうりつ
無効,むこう
乱れる,みだれる
刃,は
襟,えり
同調,どうちょう
下痢,げり
下痢,げり
戯曲,ぎきょく
世帯,せたい
前提,ぜんてい
強制,きょうせい
漁船,ぎょせん
調理,ちょうり
墓地,ぼち
仕様,しよう
官僚,かんりょう
教員,きょういん
視覚,しかく
照明,しょうめい
作戦,さくせん
枠,わく
解除,かいじょ
蜜,みつ
財,ざい
麻酔,ますい
僧,そう
財,ざい
結晶,けっしょう
麻酔,ますい
蜜,みつ
聴覚,ちょうかく
発作,ほっさ
映像,えいぞう
驚異,きょうい
分子,ぶんし
街道,かいどう
鉛,なまり
反射,はんしゃ
小売,こうり
共鳴,きょうめい
融資,ゆうし
錯覚,さっかく
化石,かせき
怪獣,かいじゅう
兵器,へいき
差異,さい
潜水,せんすい
怪獣,かいじゅう
繊維,せんい
戸籍,こせき
行政,ぎょうせい
融資,ゆうし
合唱,がっしょう
差異,さい
株式,かぶしき
地形,ちけい
気象,きしょう
棄権,きけん
音色,ねいろ
共鳴,きょうめい
旅客,りょかく
義理,ぎり
処罰,しょばつ
農地,のうち
主体,しゅたい
刑罰,けいばつ
主体,しゅたい
刑罰,けいばつ
封鎖,ふうさ
軍事,ぐんじ
花粉,かふん
送金,そうきん
給食,きゅうしょく
炭素,たんそ
修士,しゅうし
楽譜,がくふ
同志,どうし
茎,くき
窒息,ちっそく
参議院,さんぎいん
格,かく
岩石,がんせき
溶液,ようえき
沼,ぬま
手錠,てじょう
演出,えんしゅつ
規範,きはん
茎,くき
衛生,えいせい
送金,そうきん
同志,どうし
味覚,みかく
光沢,こうたく
織り,おり
書評,しょひょう
定食,ていしょく
居住,きょじゅう
粥,かゆ
再建,さいけん
品種,ひんしゅ
星座,せいざ
雪崩,なだれ
結核,けっかく
三味線,しゃみせん
捕鯨,ほげい
保守,ほしゅ
衆議院,しゅうぎいん
多数決,たすうけつ
盾,たて
偽造,ぎぞう
書評,しょひょう
舗装,ほそう
鉄棒,てつぼう
燃焼,ねんしょう
結核,けっかく
混血,こんけつ
再建,さいけん
鳥居,とりい
自我,じが
雪崩,なだれ
品種,ひんしゅ
執着,しゅうちゃく
定食,ていしょく
風俗,ふうぞく
保守,ほしゅ
地主,じぬし
根回し,ねまわし
合成,ごうせい
呉れる,くれる
積もり,つもり
殆ど,ほとんど
