上げる,あげる
箸,はし
茶碗,ちゃわん
石鹸,せっけん
髭,ひげ
機械,きかい
羽,はね
儀式,ぎしき
職人,しょくにん
南極,なんきょく
北極,ほっきょく
昼寝,ひるね
新幹線,しんかんせん
木材,もくざい
大通り,おおどおり
運河,うんが
遊園地,ゆうえんち
天皇,てんのう
蛇口,じゃぐち
溶岩,ようがん
武士,ぶし
苗字,みょうじ
有る,ある
作る,つくる
長い,ながい
立つ,たつ
上る,のぼる
飛ぶ,とぶ
止まる,とまる
勤める,つとめる
丸い,まるい
一昨年,おととし
会う,あう
分かる,わかる
出かける,でかける
付ける,つける
無くす,なくす
奥さん,おくさん
再来年,さらいねん
面接,めんせつ
面接,めんせつ
望遠鏡,ぼうえんきょう
解放,かいほう
群れ,むれ
唇,くちびる
液体,えきたい
温泉,おんせん
書店,しょてん
演劇,えんげき
垣根,かきね
煙突,えんとつ
井戸,いど
果実,かじつ
広場,ひろば
通勤,つうきん
過失,かしつ
乾燥,かんそう
宣伝,せんでん
電池,でんち
矛盾,むじゅん
通訳,つうやく
宣伝,せんでん
皮膚,ひふ
花火,はなび
虹,にじ
中世,ちゅうせい
車庫,しゃこ
火山,かざん
相撲,すもう
観念,かんねん
回転,かいてん
枕,まくら
基礎,きそ
競馬,けいば
水素,すいそ
通貨,つうか
吹雪,ふぶき
毛皮,けがわ
商業,しょうぎょう
停電,ていでん
公害,こうがい
政党,せいとう
鐘,かね
空想,くうそう
灰色,はいいろ
停電,ていでん
足跡,あしあと
公共,こうきょう
百科事典,ひゃっかじてん
公式,こうしき
牧場,ぼくじょう
名所,めいしょ
血液,けつえき
死体,したい
強化,きょうか
車輪,しゃりん
蒸気,じょうき
姿勢,しせい
看板,かんばん
文体,ぶんたい
磁石,じしゃく
寺院,じいん
森林,しんりん
大工,だいく
神話,しんわ
文体,ぶんたい
看板,かんばん
薬局,やっきょく
家屋,かおく
酢,す
東洋,とうよう
滝,たき
顕微鏡,けんびきょう
電力,でんりょく
方言,ほうげん
面積,めんせき
寮,りょう
撮影,さつえい
給与,きゅうよ
血圧,けつあつ
直線,ちょくせん
刺身,さしみ
楽器,がっき
診断,しんだん
風船,ふうせん
給与,きゅうよ
伝記,でんき
継続,けいぞく
反省,はんせい
無限,むげん
血圧,けつあつ
明け方,あけがた
銅,どう
姓,せい
手首,てくび
噴火,ふんか
彫刻,ちょうこく
包装,ほうそう
香水,こうすい
倉庫,そうこ
園芸,えんげい
煮る,にる
先祖,せんぞ
太鼓,たいこ
竹,たけ
分布,ぶんぷ
表紙,ひょうし
電柱,でんちゅう
行列,ぎょうれつ
学年,がくねん
記号,きごう
深夜,しんや
和服,わふく
手前,てまえ
商社,しょうしゃ
統一,とういつ
包丁,ほうちょう
引き分け,ひきわけ
淡水,たんすい
電球,でんきゅう
電球,でんきゅう
温室,おんしつ
淡水,たんすい
通路,つうろ
算数,さんすう
測定,そくてい
宴会,えんかい
編集,へんしゅう
集合,しゅうごう
光線,こうせん
体操,たいそう
原理,げんり
口紅,くちべに
親指,おやゆび
古典,こてん
中年,ちゅうねん
漁師,りょうし
俳句,はいく
税関,ぜいかん
垂直,すいちょく
摩擦,まさつ
歯磨き,はみがき
売買,ばいばい
自然科学,しぜんかがく
確率,かくりつ
湿度,しつど
交流,こうりゅう
水蒸気,すいじょうき
水平,すいへい
文房具,ぶんぼうぐ
電波,でんぱ
垂直,すいちょく
水分,すいぶん
大学院,だいがくいん
税関,ぜいかん
役所,やくしょ
漁業,ぎょぎょう
車掌,しゃしょう
童話,どうわ
鉱物,こうぶつ
代名詞,だいめいし
童話,どうわ
透明,とうめい
祝日,しゅくじつ
漁業,ぎょぎょう
幼稚園,ようちえん
電流,でんりゅう
役所,やくしょ
名刺,めいし
随筆,ずいひつ
会館,かいかん
紫,むらさき
吐き気,はきけ
歯車,はぐるま
工夫,くふう
観測,かんそく
線路,せんろ
鉱物,こうぶつ
転々,てんてん
官庁,かんちょう
名物,めいぶつ
流域,りゅういき
官庁,かんちょう
重力,じゅうりょく
農薬,のうやく
気圧,きあつ
真空,しんくう
転々,てんてん
接続,せつぞく
司会,しかい
半島,はんとう
学部,がくぶ
発電,はつでん
頂点,ちょうてん
郡,ぐん
西暦,せいれき
紙幣,しへい
浴衣,ゆかた
輸血,ゆけつ
炭鉱,たんこう
筆記,ひっき
紙幣,しへい
峠,とうげ
社会科学,しゃかいかがく
自治,じち
測量,そくりょう
機関車,きかんしゃ
為替,かわせ
学会,がっかい
西暦,せいれき
図鑑,ずかん
炭鉱,たんこう
索引,さくいん
献立,こんだて
浴衣,ゆかた
合同,ごうどう
踏切,ふみきり
曖昧,あいまい
梯子,はしご
肘,ひじ
絨毯,じゅうたん
編み物,あみもの
釘,くぎ
茹でる,ゆでる
包帯,ほうたい
気体,きたい
飢饉,ききん
胡椒,こしょう
煉瓦,れんが
直角,ちょっかく
錆,さび
迷信,めいしん
失恋,しつれん
待合室,まちあいしつ
櫛,くし
名詞,めいし
蒸発,じょうはつ
回り道,まわりみち
扇風機,せんぷうき
省略,しょうりゃく
裁縫,さいほう
正方形,せいほうけい
形容詞,けいようし
蕎麦,そば
人差し指,ひとさしゆび
副詞,ふくし
蛍光灯,けいこうとう
定規,じょうぎ
消防署,しょうぼうしょ
体積,たいせき
座布団,ざぶとん
海水浴,かいすいよく
人文科学,じんぶんかがく
時間割,じかんわり
長方形,ちょうほうけい
箒,ほうき
括弧,かっこ
矢印,やじるし
敬語,けいご
経度,けいど
温帯,おんたい
障子,しょうじ
薬指,くすりゆび
手洗い,てあらい
噴水,ふんすい
複写,ふくしゃ
風呂敷,ふろしき
下駄,げた
水筒,すいとう
肌着,はだぎ
便所,べんじょ
中指,なかゆび
方程式,ほうていしき
螺子,ねじ
探す,さがす
喜ぶ,よろこぶ
赤ん坊,あかんぼう
向かう,むかう
見つかる,みつかる
増える,ふえる
柔らかい,やわらかい
又は,または
引き出す,ひきだす
退院,たいいん
漬ける,つける
見つける,みつける
慣れる,なれる
直す,なおす
捨てる,すてる
硬い,かたい
掏摸,すり
滑る,すべる
床屋,とこや
拝見,はいけん
再来月,さらいげつ
再来週,さらいしゅう
主語,しゅご
零点,れいてん
只,ただ
喜び,よろこび
越える,こえる
備える,そなえる
乗せる,のせる
減る,へる
計る,はかる
替える,かえる
収める,おさめる
空き,あき
長所,ちょうしょ
休息,きゅうそく
湿気,しっけ
勝負,しょうぶ
役人,やくにん
相互,そうご
引っ越し,ひっこし
