舞台,ぶたい
寄付,きふ
猿,さる
平等,びょうどう
金属,きんぞく
左右,さゆう
商人,しょうにん
国境,こっきょう
集団,しゅうだん
根,ね
鎖,くさり
一番,いちばん
時,とき
元,もと
計画,けいかく
少年,しょうねん
列車,れっしゃ
健康,けんこう
人間,にんげん
結果,けっか
理解,りかい
少女,しょうじょ
事実,じじつ
食事,しょくじ
人生,じんせい
母親,ははおや
行動,こうどう
父親,ちちおや
太陽,たいよう
幸福,こうふく
政府,せいふ
経験,けいけん
責任,せきにん
我慢,がまん
噂,うわさ
道路,どうろ
機械,きかい
地球,ちきゅう
秘密,ひみつ
偶然,ぐうぜん
情報,じょうほう
現在,げんざい
昼食,ちゅうしょく
期待,きたい
丘,おか
嵐,あらし
運動,うんどう
大統領,だいとうりょう
演説,えんぜつ
神,かみ
読書,どくしょ
馬,うま
詩,し
知識,ちしき
収入,しゅうにゅう
嘘,うそ
都市,とし
詩人,しじん
涙,なみだ
円,えん
酒,さけ
財産,ざいさん
発見,はっけん
勇気,ゆうき
学者,がくしゃ
解決,かいけつ
患者,かんじゃ
存在,そんざい
言語,げんご
信頼,しんらい
作家,さっか
海外,かいがい
平和,へいわ
希望,きぼう
調査,ちょうさ
地域,ちいき
気候,きこう
愛,あい
実験,じっけん
権利,けんり
権利,けんり
騒音,そうおん
義務,ぎむ
釣り,つり
胸,むね
過去,かこ
物価,ぶっか
利益,りえき
教授,きょうじゅ
植物,しょくぶつ
発明,はつめい
氷,こおり
痛み,いたみ
石油,せきゆ
進歩,しんぽ
物語,ものがたり
感情,かんじょう
週,しゅう
屋根,やね
議長,ぎちょう
議長,ぎちょう
費用,ひよう
否定,ひてい
商品,しょうひん
作品,さくひん
賞,しょう
城,しろ
留学,りゅうがく
価格,かかく
犯罪,はんざい
肩,かた
意志,いし
正午,しょうご
評価,ひょうか
家具,かぐ
職業,しょくぎょう
首相,しゅしょう
不安,ふあん
劇場,げきじょう
自然,しぜん
自殺,じさつ
意識,いしき
逮捕,たいほ
爆発,ばくはつ
論文,ろんぶん
記録,きろく
世紀,せいき
頭痛,ずつう
契約,けいやく
牛,うし
精神,せいしん
記憶,きおく
優勝,ゆうしょう
俳優,はいゆう
独立,どくりつ
州,しゅう
公平,こうへい
額,がく
強盗,ごうとう
生命,せいめい
霧,きり
記事,きじ
輸入,ゆにゅう
命令,めいれい
銃,じゅう
医師,いし
宇宙,うちゅう
計算,けいさん
合図,あいず
禁煙,きんえん
友情,ゆうじょう
握手,あくしゅ
現実,げんじつ
方向,ほうこう
香り,かおり
企業,きぎょう
攻撃,こうげき
訓練,くんれん
生物,せいぶつ
役割,やくわり
流れ,ながれ
役割,やくわり
芸術,げいじゅつ
羽,はね
服装,ふくそう
宗教,しゅうきょう
個人,こじん
署名,しょめい
無料,むりょう
広告,こうこく
駐車,ちゅうしゃ
王様,おうさま
現金,げんきん
証明,しょうめい
宝石,ほうせき
出版,しゅっぱん
話題,わだい
芝居,しばい
塔,とう
博士,はかせ
競技,きょうぎ
保証,ほしょう
離婚,りこん
投票,とうひょう
診察,しんさつ
軍隊,ぐんたい
心臓,しんぞう
販売,はんばい
衝突,しょうとつ
年寄り,としより
影,かげ
平均,へいきん
型,かた
輸出,ゆしゅつ
永遠,えいえん
冒険,ぼうけん
表情,ひょうじょう
未来,みらい
青年,せいねん
虎,とら
胃,い
虎,とら
小屋,こや
畑,はたけ
通学,つうがく
制度,せいど
改善,かいぜん
籠,かご
雷,かみなり
中心,ちゅうしん
信号,しんごう
文字,もじ
鉄道,てつどう
放送,ほうそう
収穫,しゅうかく
観客,かんきゃく
袋,ふくろ
建設,けんせつ
節約,せつやく
睡眠,すいみん
袋,ふくろ
化学,かがく
油,あぶら
毒,どく
教科書,きょうかしょ
常識,じょうしき
単位,たんい
郵便,ゆうびん
座席,ざせき
誕生,たんじょう
運,うん
労働,ろうどう
家事,かじ
失業,しつぎょう
観光,かんこう
学習,がくしゅう
汗,あせ
食欲,しょくよく
数字,すうじ
分析,ぶんせき
毛布,もうふ
婚約,こんやく
知恵,ちえ
鉄,てつ
引用,いんよう
砂漠,さばく
書斎,しょさい
首都,しゅと
武器,ぶき
硬貨,こうか
笑い,わらい
位置,いち
監督,かんとく
舌,した
針,はり
異常,いじょう
絶滅,ぜつめつ
穀物,こくもつ
拍手,はくしゅ
瞬間,しゅんかん
拍手,はくしゅ
瞬間,しゅんかん
対象,たいしょう
絶滅,ぜつめつ
予算,よさん
腰,こし
祭り,まつり
物質,ぶっしつ
奨学金,しょうがくきん
黒板,こくばん
泥,どろ
農業,のうぎょう
谷,たに
巣,す
議会,ぎかい
石炭,せきたん
独身,どくしん
農家,のうか
批評,ひひょう
安定,あんてい
知事,ちじ
体温,たいおん
日付,ひづけ
大陸,たいりく
吸収,きゅうしゅう
活用,かつよう
文明,ぶんめい
建築,けんちく
信仰,しんこう
消費,しょうひ
金融,きんゆう
外交,がいこう
学期,がっき
大臣,だいじん
翼,つばさ
人種,じんしゅ
助手,じょしゅ
絵画,かいが
営業,えいぎょう
居間,いま
筋肉,きんにく
鍋,なべ
現状,げんじょう
居間,いま
人種,じんしゅ
