周り,まわり
上げる,あげる
腕,うで
人形,にんぎょう
文化,ぶんか
海岸,かいがん
産業,さんぎょう
動物園,どうぶつえん
美術館,びじゅつかん
水道,すいどう
飛行場,ひこうじょう
葡萄,ぶどう
事故,じこ
息子,むすこ
生活,せいかつ
注意,ちゅうい
生きる,いきる
女性,じょせい
船,ふね
説明,せつめい
警察,けいさつ
危険,きけん
世界,せかい
戦争,せんそう
小説,しょうせつ
関係,かんけい
研究,けんきゅう
会議,かいぎ
音,おと
普通,ふつう
湖,みずうみ
夢,ゆめ
空港,くうこう
数学,すうがく
教育,きょういく
赤ちゃん,あかちゃん
自由,じゆう
火,ひ
森,もり
法律,ほうりつ
気分,きぶん
壁,かべ
田舎,いなか
気,き
男性,だんせい
地震,じしん
人口,じんこう
故障,こしょう
残念,ざんねん
島,しま
教会,きょうかい
歴史,れきし
住所,じゅうしょ
社会,しゃかい
工場,こうじょう
趣味,しゅみ
経済,けいざい
台風,たいふう
卒業,そつぎょう
雲,くも
贈り物,おくりもの
科学,かがく
光,ひかり
政治,せいじ
特別,とくべつ
水泳,すいえい
講義,こうぎ
指,ゆび
生産,せいさん
会話,かいわ
季節,きせつ
玩具,おもちゃ
翻訳,ほんやく
貿易,ぼうえき
文学,ぶんがく
葉,は
交通,こうつう
遊び,あそび
道具,どうぐ
背中,せなか
背中,せなか
発音,はつおん
指輪,ゆびわ
医学,いがく
漫画,まんが
鏡,かがみ
電報,でんぽう
校長,こうちょう
市民,しみん
国際,こくさい
郊外,こうがい
砂,すな
手袋,てぶくろ
絹,きぬ
日記,にっき
糸,いと
文法,ぶんぽう
神社,じんじゃ
展覧会,てんらんかい
駐車場,ちゅうしゃじょう
駐車場,ちゅうしゃじょう
西洋,せいよう
先輩,せんぱい
注射,ちゅうしゃ
坂,さか
乗り物,のりもの
旅館,りょかん
林,はやし
布団,ふとん
中学校,ちゅうがっこう
柔道,じゅうどう
研究室,けんきゅうしつ
会議室,かいぎしつ
高等学校,こうとうがっこう
花見,はなみ
公務員,こうむいん
辞典,じてん
心,こころ
力,ちから
喧嘩,けんか
天気予報,てんきよほう
髭,ひげ
押入れ,おしいれ
味噌,みそ
皆,みんな
明日,あした
掛ける,かける
降りる,おりる
彼,かれ
客,きゃく
祖父,そふ
高校,こうこう
近所,きんじょ
番組,ばんぐみ
見物,けんぶつ
彼女,かのじょ
思う,おもう
僕,ぼく
必要,ひつよう
見える,みえる
考える,かんがえる
為,ため
始める,はじめる
受ける,うける
美しい,うつくしい
試験,しけん
親切,しんせつ
失敗,しっぱい
以上,いじょう
意見,いけん
決して,けっして
十分,じゅうぶん
試合,しあい
一生懸命,いっしょうけんめい
子,こ
探す,さがす
急ぐ,いそぐ
選ぶ,えらぶ
送る,おくる
必ず,かならず
怒る,おこる
最近,さいきん
払う,はらう
点,てん
合う,あう
決める,きめる
笑う,わらう
最初,さいしょ
反対,はんたい
娘,むすめ
喜ぶ,よろこぶ
理由,りゆう
昔,むかし
約束,やくそく
思い出す,おもいだす
変わる,かわる
正しい,ただしい
落ちる,おちる
場所,ばしょ
楽しむ,たのしむ
利用,りよう
間に合う,まにあう
今度,こんど
予定,よてい
訪ねる,たずねる
赤ん坊,あかんぼう
進む,すすむ
最後,さいご
向かう,むかう
興味,きょうみ
通る,とおる
時代,じだい
途中,とちゅう
返事,へんじ
簡単,かんたん
深い,ふかい
起こす,おこす
夫,おっと
一度,いちど
場合,ばあい
運ぶ,はこぶ
今夜,こんや
盗む,ぬすむ
習慣,しゅうかん
大抵,たいてい
上がる,あがる
残る,のこる
席,せき
値段,ねだん
将来,しょうらい
優しい,やさしい
致す,いたす
空気,くうき
逃げる,にげる
役に立つ,やくにたつ
予約,よやく
機会,きかい
原因,げんいん
火事,かじ
泥棒,どろぼう
