会社,かいしゃ
上げる,あげる
結婚,けっこん
言葉,ことば
目,め
走る,はしる
名前,なまえ
旅行,りょこう
道,みち
飛行機,ひこうき
映画,えいが
音楽,おんがく
木,き
大学,だいがく
時計,とけい
家族,かぞく
花,はな
猫,ねこ
毎日,まいにち
宿題,しゅくだい
雪,ゆき
山,やま
窓,まど
動物,どうぶつ
夜,よる
料理,りょうり
夏,なつ
新聞,しんぶん
公園,こうえん
意味,いみ
自転車,じてんしゃ
足,あし
電車,でんしゃ
散歩,さんぽ
声,こえ
朝,あさ
歌,うた
靴,くつ
箱,はこ
机,つくえ
帽子,ぼうし
海,うみ
授業,じゅぎょう
銀行,ぎんこう
写真,しゃしん
冬,ふゆ
村,むら
傘,かさ
口,くち
橋,はし
病院,びょういん
図書館,としょかん
春,はる
買い物,かいもの
椅子,いす
自動車,じどうしゃ
色,いろ
卵,たまご
肉,にく
風邪,かぜ
掃除,そうじ
紙,かみ
鍵,かぎ
雑誌,ざっし
切符,きっぷ
外国人,がいこくじん
財布,さいふ
鉛筆,えんぴつ
大人,おとな
塩,しお
地図,ちず
砂糖,さとう
夏休み,なつやすみ
池,いけ
郵便局,ゆうびんきょく
教室,きょうしつ
耳,みみ
切手,きって
台所,だいどころ
電気,でんき
作文,さくぶん
歯,は
紅茶,こうちゃ
家庭,かてい
野菜,やさい
風呂,ふろ
玄関,げんかん
地下鉄,ちかてつ
鼻,はな
緑,みどり
昼,ひる
西,にし
白,しろ
洗濯,せんたく
冷蔵庫,れいぞうこ
火曜日,かようび
南,みなみ
北,きた
茶色,ちゃいろ
喫茶店,きっさてん
喫茶店,きっさてん
青,あお
靴下,くつした
封筒,ふうとう
辺,へん
黄色,きいろ
映画館,えいがかん
箸,はし
食堂,しょくどう
牛肉,ぎゅうにく
交差点,こうさてん
漢字,かんじ
茶碗,ちゃわん
曇り,くもり
背広,せびろ
灰皿,はいざら
万年筆,まんねんひつ
大使館,たいしかん
豚肉,ぶたにく
交番,こうばん
飲む,のむ
頭,あたま
日曜日,にちようび
誕生日,たんじょうび
可愛い,かわいい
鞄,かばん
土曜日,どようび
月曜日,げつようび
金曜日,きんようび
花瓶,かびん
木曜日,もくようび
本棚,ほんだな
石鹸,せっけん
水曜日,すいようび
飴,あめ
八百屋,やおや
成る,なる
より,より
一番,いちばん
私,わたし
外,そと
姉,あね
百,ひゃく
有る,ある
其の,その
言う,いう
出来る,できる
良い,よい
下さい,ください
見る,みる
此の,この
自分,じぶん
知る,しる
持つ,もつ
何,なに
車,くるま
話す,はなす
今,いま
今日,きょう
買う,かう
読む,よむ
皆,みんな
新しい,あたらしい
話,はなし
明日,あした
昨日,きのう
出る,でる
勉強,べんきょう
取る,とる
誰,だれ
お金,おかね
男,おとこ
犬,いぬ
使う,つかう
大変,たいへん
待つ,まつ
作る,つくる
後ろ,うしろ
町,まち
駅,えき
少し,すこし
貴方,あなた
欲しい,ほしい
行く,いく
乗る,のる
大きな,おおきな
医者,いしゃ
終わる,おわる
学生,がくせい
長い,ながい
何の,どの
又,また
国,くに
高い,たかい
余り,あまり
難しい,むずかしい
友達,ともだち
一つ,ひとつ
本当,ほんとう
寝る,ねる
生徒,せいと
忙しい,いそがしい
両親,りょうしん
泳ぐ,およぐ
出す,だす
立つ,たつ
早い,はやい
楽しい,たのしい
面白い,おもしろい
絵,え
女の子,おんなのこ
着る,きる
上手,じょうず
古い,ふるい
強い,つよい
全部,ぜんぶ
呼ぶ,よぶ
午後,ごご
掛ける,かける
辞書,じしょ
天気,てんき
体,からだ
大きい,おおきい
質問,しつもん
夕べ,ゆうべ
有名,ゆうめい
兄,あに
歌う,うたう
上る,のぼる
服,ふく
鳥,とり
時々,ときどき
妹,いもうと
二つ,ふたつ
頼む,たのむ
今朝,けさ
お父さん,おとうさん
遅い,おそい
借りる,かりる
薬,くすり
庭,にわ
外国,がいこく
元気,げんき
小さい,ちいさい
弟,おとうと
今年,ことし
魚,さかな
お母さん,おかあさん
男の子,おとこのこ
飛ぶ,とぶ
売る,うる
静か,しずか
休む,やすむ
食べ物,たべもの
大切,たいせつ
警官,けいかん
来週,らいしゅう
建物,たてもの
暖かい,あたたかい
降りる,おりる
止まる,とまる
一緒,いっしょ
先週,せんしゅう
白い,しろい
少ない,すくない
二,に
赤い,あかい
洗う,あらう
嫌い,きらい
立派,りっぱ
暇,ひま
お茶,おちゃ
広い,ひろい
去年,きょねん
隣,となり
大好き,だいすき
女,おんな
切る,きる
多分,たぶん
嫌,いや
毎朝,まいあさ
荷物,にもつ
番号,ばんごう
返す,かえす
来年,らいねん
明るい,あかるい
近い,ちかい
向こう,むこう
始め,はじめ
痛い,いたい
秋,あき
休み,やすみ
練習,れんしゅう
十,じゅう
先月,せんげつ
上着,うわぎ
結構,けっこう
兄弟,きょうだい
毎年,まいとし
来月,らいげつ
五,ご
飲み物,のみもの
弱い,よわい
牛乳,ぎゅうにゅう
三,さん
大丈夫,だいじょうぶ
黒い,くろい
皆さん,みなさん
半分,はんぶん
押す,おす
勤める,つとめる
熱い,あつい
三つ,みっつ
果物,くだもの
今週,こんしゅう
甘い,あまい
右,みぎ
晩,ばん
階段,かいだん
幾つ,いくつ
大勢,おおぜい
張る,はる
夕方,ゆうがた
低い,ひくい
左,ひだり
毎週,まいしゅう
下手,へた
千,せん
渡す,わたす
午前,ごぜん
丸い,まるい
便利,べんり
今月,こんげつ
浴びる,あびる
半,はん
洋服,ようふく
撮る,とる
締める,しめる
文章,ぶんしょう
薄い,うすい
八,はち
横,よこ
四つ,よっつ
六,ろく
丈夫,じょうぶ
毎晩,まいばん
東,ひがし
晴れ,はれ
五つ,いつつ
細い,ほそい
廊下,ろうか
太い,ふとい
縦,たて
七つ,ななつ
留学生,りゅうがくせい
九つ,ここのつ
一昨年,おととし
人,ひと
居る,いる
其れ,それ
物,もの
家,いえ
本,ほん
迚も,とても
会う,あう
好き,すき
分かる,わかる
此れ,これ
聞く,きく
所,ところ
先,さき
何時も,いつも
書く,かく
沢山,たくさん
入る,はいる
置く,おく
何処,どこ
住む,すむ
食べる,たべる
歩く,あるく
働く,はたらく
着く,つく
上,うえ
悪い,わるい
教える,おしえる
降る,ふる
死ぬ,しぬ
帰る,かえる
多い,おおい
出かける,でかける
若い,わかい
掛かる,かかる
同じ,おなじ
起きる,おきる
座る,すわる
店,みせ
入れる,いれる
何方,どなた
一寸,ちょっと
疲れる,つかれる
開ける,あける
何故,なぜ
一日,いちにち
寒い,さむい
見せる,みせる
違う,ちがう
如何して,どうして
付ける,つける
覚える,おぼえる
近く,ちかく
風,かぜ
困る,こまる
生まれる,うまれる
丁度,ちょうど
初めて,はじめて
始まる,はじまる
貸す,かす
綺麗,きれい
幾ら,いくら
空,そら
弾く,ひく
暑い,あつい
遊ぶ,あそぶ
然し,しかし
無くす,なくす
色々,いろいろ
渡る,わたる
暗い,くらい
此方,こちら
重い,おもい
今晩,こんばん
美味しい,おいしい
消す,けす
易しい,やさしい
閉める,しめる
安い,やすい
遠い,とおい
短い,みじかい
晴れる,はれる
曲がる,まがる
消える,きえる
冷たい,つめたい
青い,あおい
吹く,ふく
奥さん,おくさん
引く,ひく
段々,だんだん
習う,ならう
彼処,あそこ
狭い,せまい
軽い,かるい
脱ぐ,ぬぐ
万,まん
並ぶ,ならぶ
煩い,うるさい
吸う,すう
詰らない,つまらない
閉まる,しまる
咲く,さく
真っ直ぐ,まっすぐ
一,いち
お祖母さん,おばあさん
其方,そちら
涼しい,すずしい
厚い,あつい
お兄さん,おにいさん
お姉さん,おねえさん
並べる,ならべる
汚い,きたない
危ない,あぶない
お腹,おなか
不味い,まずい
曇る,くもる
ご飯,ごはん
磨く,みがく
お菓子,おかし
黄色い,きいろい
賑やか,にぎやか
鳴く,なく
夕飯,ゆうはん
葉書,はがき
朝ご飯,あさごはん
六つ,むっつ
お手洗い,おてあらい
お巡りさん,おまわりさん
零,れい
差す,さす
２０日,はつか
八つ,やっつ
再来年,さらいねん
良く,よく
其処,そこ
小さな,ちいさな
答える,こたえる
もう一度,もういちど
要る,いる
お風呂,おふろ
背,せ
お弁当,おべんとう
晩御飯,ばんごはん
昼ご飯,ひるごはん
でも,でも
等,など
中,なか
一昨日,おととい
醤油,しょうゆ
はい,はい
為る,する
彼,あれ
１日,ついたち
３日,みっか
２日,ふつか
５日,いつか
１０日,とおか
６日,むいか
８日,ようか
９日,ここのか
来る,くる
後,あと
一人,ひとり
二人,ふたり
側,そば
辛い,からい
門,もん
角,かど
毎月,まいつき
七,しち
伯母さん,おばさん
四,し
お酒,おさけ
入り口,いりぐち
出口,でぐち
お皿,おさら
此処,ここ
前,まえ
もう,もう
如何,どう
方,かた
未だ,まだ
もっと,もっと
何時,いつ
他,ほか
次,つぎ
何方,どちら
誰か,だれか
開く,あく
どうぞ,どうぞ
こんな,こんな
下,した
而して,そして
ゆっくり,ゆっくり
さあ,さあ
どうも,どうも
じゃあ,じゃあ
其れから,それから
ええ,ええ
それでは,それでは
明後日,あさって
何れ,どれ
２０歳,はたち
彼方,あちら
では,では
４日,よっか
温い,ぬるい
７日,なのか
然うして,そうして
直ぐに,すぐに
一月,ひとつき
あの,あの
忘れる,わすれる
字引,じびき
いいえ,いいえ
