飴細工,あめざいく
嵐電,らんでん
畏敬,いけい
異邦人,いほうじん
鬱蒼,うっそう
延髄,えんずい
御殿,ごてん
花魁,おいらん
回天,かいてん
海鞘,ほや
火縄銃,ひなわじゅう
鬼火,おにび
強靭,きょうじん
狂言,きょうげん
驚愕,きょうがく
凝視,ぎょうし
均衡,きんこう
喫煙,きつえん
胸襟,きょうきん
巨匠,きょしょう
虚空,こくう
敬虔,けいけん
桂皮,けいひ
剣豪,けんごう
顕微鏡,けんびきょう
玄武岩,げんぶがん
紅葉,もみじ
国璽,こくじ
国宝,こくほう
黒曜石,こくようせき
采配,さいはい
山岳,さんがく
残酷,ざんこく
三叉路,さんさろ
斬新,ざんしん
惨劇,さんげき
詩歌,しいか
詩吟,しぎん
試練,しれん
執念,しゅうねん
終焉,しゅうえん
秋霜,しゅうそう
狩猟,しゅりょう
浄化,じょうか
叙事詩,じょじし
奨励,しょうれい
剰余,じょうよ
真贋,しんがん
深遠,しんえん
真髄,しんずい
清浄,せいじょう
精錬,せいれん
誠実,せいじつ
聖域,せいいき
精霊,せいれい
赤銅,しゃくどう
斥候,せっこう
雪崩,なだれ
仙境,せんきょう
旋風,せんぷう
船舶,せんぱく
即興,そっきょう
壮絶,そうぜつ
荘厳,そうごん
遭難,そうなん
蒼天,そうてん
双璧,そうへき
騒霊,そうれい
粗野,そや
太古,たいこ
対峙,たいじ
胆力,たんりょく
弾劾,だんがい
鍛錬,たんれん
知己,ちき
知略,ちりゃく
茶道,さどう
着工,ちゃっこう
着物,きもの
嘲笑,ちょうしょう
潮流,ちょうりゅう
鉄拳,てっけん
鉄砲,てっぽう
典型,てんけい
電磁波,でんじは
天秤,てんびん
天泣,てんきゅう
道化師,どうけし
闘志,とうし
峠道,とうげみち
毒薬,どくやく
独奏,どくそう
鳥瞰,ちょうかん
屯田兵,とんでんへい
内蔵,ないぞう
南蛮,なんばん
匂袋,においぶくろ
忍耐,にんたい
農耕,のうこう
覇者,はしゃ
馬車,ばしゃ
白昼夢,はくちゅうむ
薄氷,はくひょう
波紋,はもん
破滅,はめつ
波瀾,はらん
繁栄,はんえい
反響,はんきょう
万能,ばんのう
比翼,ひよく
漂泊,ひょうはく
風雅,ふうが
風雪,ふうせつ
俯瞰,ふかん
不可思議,ふかしぎ
不屈,ふくつ
斧,おの
氷解,ひょうかい
